,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,ticker
13241,2019-05-04 23:00:00,5891.36,5827.59,5884.35,2011.34,11828771.54,5840.08,direct,,BTC
13242,2019-05-05 00:00:00,5847.73,5765.5,5840.08,2533.47,14706508.89,5825.84,direct,,BTC
13243,2019-05-05 01:00:00,5827.45,5791.96,5825.84,854.96,4964771.84,5805.44,direct,,BTC
13244,2019-05-05 02:00:00,5845.25,5805.17,5805.44,763.11,4434830.95,5814.7,direct,,BTC
13245,2019-05-05 03:00:00,5834.48,5802.07,5814.7,589.38,3424263.48,5829.7,direct,,BTC
13246,2019-05-05 04:00:00,5829.7,5790.84,5829.7,1157.45,6671509.04,5796.27,direct,,BTC
13247,2019-05-05 05:00:00,5832.44,5794.09,5796.27,722.71,4232932.47,5822.64,direct,,BTC
13248,2019-05-05 06:00:00,5832.79,5797.29,5822.64,706.43,4143013.58,5813.01,direct,,BTC
13249,2019-05-05 07:00:00,5815.16,5761.97,5813.01,1018.68,5875490.96,5775.6,direct,,BTC
13250,2019-05-05 08:00:00,5802.36,5744.22,5775.6,1231.5,7186027.44,5791.2,direct,,BTC
13251,2019-05-05 09:00:00,5796.29,5772.05,5791.2,535.1,3087140.94,5775.47,direct,,BTC
13252,2019-05-05 10:00:00,5808.41,5763.7,5775.47,1060.74,6107078.46,5808.41,direct,,BTC
13253,2019-05-05 11:00:00,5813.89,5777.31,5808.41,526.86,3069052.94,5781.91,direct,,BTC
13254,2019-05-05 12:00:00,5809.7,5780.91,5781.91,616.0,3579993.41,5806.55,direct,,BTC
13255,2019-05-05 13:00:00,5820.47,5787.37,5806.55,975.98,5632146.77,5801.46,direct,,BTC
13256,2019-05-05 14:00:00,5804.67,5758.97,5801.46,1695.36,9792297.48,5791.73,direct,,BTC
13257,2019-05-05 15:00:00,5792.32,5776.06,5791.73,1118.78,6533040.32,5783.09,direct,,BTC
13258,2019-05-05 16:00:00,5786.61,5749.09,5783.09,1240.4,7178822.29,5773.23,direct,,BTC
13259,2019-05-05 17:00:00,5777.74,5743.55,5773.23,938.15,5392974.89,5747.96,direct,,BTC
13260,2019-05-05 18:00:00,5788.17,5709.74,5747.96,1915.45,10966758.27,5788.17,direct,,BTC
13261,2019-05-05 19:00:00,5794.77,5768.12,5788.17,781.66,4523761.1,5772.57,direct,,BTC
13262,2019-05-05 20:00:00,5834.18,5772.57,5772.57,1896.24,10979152.43,5824.73,direct,,BTC
13263,2019-05-05 21:00:00,5849.5,5802.72,5824.73,1240.93,7260277.92,5825.21,direct,,BTC
13264,2019-05-05 22:00:00,5828.44,5784.56,5825.21,746.82,4350438.6,5784.56,direct,,BTC
13265,2019-05-05 23:00:00,5820.65,5784.56,5784.56,615.35,3570216.29,5794.14,direct,,BTC
13266,2019-05-06 00:00:00,5809.89,5728.23,5794.14,2453.1,14128145.79,5753.04,direct,,BTC
13267,2019-05-06 01:00:00,5766.81,5656.01,5753.04,4084.27,23095481.96,5696.8,direct,,BTC
13268,2019-05-06 02:00:00,5715.34,5684.49,5696.8,1052.51,5999514.07,5698.04,direct,,BTC
13269,2019-05-06 03:00:00,5712.12,5693.95,5698.04,735.85,4216621.92,5704.58,direct,,BTC
13270,2019-05-06 04:00:00,5739.74,5692.06,5704.58,1283.15,7352799.95,5737.43,direct,,BTC
13271,2019-05-06 05:00:00,5741.46,5724.06,5737.43,778.42,4465097.11,5726.85,direct,,BTC
13272,2019-05-06 06:00:00,5727.69,5674.23,5726.85,1161.55,6612493.37,5697.7,direct,,BTC
13273,2019-05-06 07:00:00,5707.12,5653.45,5697.7,1149.48,6498008.53,5659.4,direct,,BTC
13274,2019-05-06 08:00:00,5686.53,5644.15,5659.4,1202.62,6823364.78,5673.87,direct,,BTC
13275,2019-05-06 09:00:00,5712.28,5672.42,5673.87,1150.73,6515650.48,5705.16,direct,,BTC
13276,2019-05-06 10:00:00,5722.44,5694.73,5705.16,758.22,4318590.98,5697.45,direct,,BTC
13277,2019-05-06 11:00:00,5725.87,5696.84,5697.45,952.5,5502828.88,5721.05,direct,,BTC
13278,2019-05-06 12:00:00,5721.05,5699.67,5721.05,1511.79,8684630.31,5700.18,direct,,BTC
13279,2019-05-06 13:00:00,5723.94,5700.18,5700.18,823.64,4694823.7,5722.86,direct,,BTC
13280,2019-05-06 14:00:00,5750.49,5722.28,5722.86,1552.84,8895070.34,5737.86,direct,,BTC
13281,2019-05-06 15:00:00,5747.75,5725.2,5737.86,1066.43,6096494.25,5733.43,direct,,BTC
13282,2019-05-06 16:00:00,5792.34,5733.43,5733.43,2828.71,16257211.05,5775.57,direct,,BTC
13283,2019-05-06 17:00:00,5796.49,5761.82,5775.57,2147.44,12385675.13,5771.71,direct,,BTC
13284,2019-05-06 18:00:00,5817.81,5771.71,5771.71,1772.19,10299540.8,5814.07,direct,,BTC
13285,2019-05-06 19:00:00,5823.67,5788.76,5814.07,1593.1,9214387.3,5805.21,direct,,BTC
13286,2019-05-06 20:00:00,5813.02,5736.93,5805.21,2583.95,14854007.54,5763.16,direct,,BTC
13287,2019-05-06 21:00:00,5771.61,5746.44,5763.16,978.06,5587578.67,5759.46,direct,,BTC
13288,2019-05-06 22:00:00,5784.48,5758.27,5759.46,767.48,4402501.59,5772.9,direct,,BTC
13289,2019-05-06 23:00:00,5773.14,5748.17,5772.9,591.67,3415667.02,5748.17,direct,,BTC
13290,2019-05-07 00:00:00,5827.04,5748.17,5748.17,1856.17,10800332.44,5813.67,direct,,BTC
13291,2019-05-07 01:00:00,5849.26,5813.67,5813.67,1520.59,8844547.64,5821.87,direct,,BTC
13292,2019-05-07 02:00:00,5978.14,5820.63,5821.87,6984.05,41507109.4,5975.26,direct,,BTC
13293,2019-05-07 03:00:00,6020.2,5952.12,5975.26,5636.42,33658259.5,5956.83,direct,,BTC
13294,2019-05-07 04:00:00,5967.96,5926.05,5956.83,2542.35,15056779.9,5953.55,direct,,BTC
13295,2019-05-07 05:00:00,5982.16,5951.61,5953.55,1515.47,9063601.21,5954.51,direct,,BTC
13296,2019-05-07 06:00:00,5964.98,5938.99,5954.51,1096.05,6571366.22,5958.02,direct,,BTC
13297,2019-05-07 07:00:00,5959.33,5926.01,5958.02,1438.7,8541219.67,5949.16,direct,,BTC
13298,2019-05-07 08:00:00,5956.94,5934.76,5949.16,957.47,5645820.64,5939.48,direct,,BTC
13299,2019-05-07 09:00:00,5986.34,5936.76,5939.48,1540.61,9157300.69,5978.69,direct,,BTC
13300,2019-05-07 10:00:00,5991.12,5961.22,5978.69,1536.36,9153223.21,5964.65,direct,,BTC
13301,2019-05-07 11:00:00,5964.65,5932.95,5964.65,1505.44,9005562.11,5956.27,direct,,BTC
13302,2019-05-07 12:00:00,5980.86,5954.08,5956.27,1257.46,7483522.82,5974.65,direct,,BTC
13303,2019-05-07 13:00:00,6014.7,5947.56,5974.65,3125.53,18794418.83,6012.44,direct,,BTC
13304,2019-05-07 14:00:00,6031.54,5849.78,6012.44,8228.24,48678173.2,5902.62,direct,,BTC
13305,2019-05-07 15:00:00,5932.62,5897.07,5902.62,1472.51,8680135.76,5930.59,direct,,BTC
13306,2019-05-07 16:00:00,5964.62,5924.44,5930.59,1494.12,8896459.87,5961.48,direct,,BTC
13307,2019-05-07 17:00:00,5973.11,5953.77,5961.48,1523.88,9121622.06,5959.97,direct,,BTC
13308,2019-05-07 18:00:00,5959.97,5936.1,5959.97,1346.85,8081874.12,5946.67,direct,,BTC
13309,2019-05-07 19:00:00,5952.56,5875.08,5946.67,3834.78,22526594.21,5918.16,direct,,BTC
13310,2019-05-07 20:00:00,5944.48,5907.75,5918.16,1250.71,7364551.52,5919.49,direct,,BTC
13311,2019-05-07 21:00:00,5955.26,5915.91,5919.49,751.23,4428797.14,5953.84,direct,,BTC
13312,2019-05-07 22:00:00,5962.72,5932.96,5953.84,825.43,4883878.4,5959.23,direct,,BTC
13313,2019-05-07 23:00:00,5971.72,5798.9,5959.23,6316.47,37098740.38,5819.57,direct,,BTC
13314,2019-05-08 00:00:00,5852.95,5753.08,5819.57,5655.2,32831203.27,5838.4,direct,,BTC
13315,2019-05-08 01:00:00,5868.03,5836.2,5838.4,1528.01,8887031.6,5857.69,direct,,BTC
13316,2019-05-08 02:00:00,5869.59,5848.13,5857.69,1135.64,6652331.26,5851.69,direct,,BTC
13317,2019-05-08 03:00:00,5854.22,5832.13,5851.69,1191.65,6983466.76,5843.98,direct,,BTC
13318,2019-05-08 04:00:00,5877.63,5843.98,5843.98,891.79,5257057.29,5870.87,direct,,BTC
13319,2019-05-08 05:00:00,5873.08,5850.37,5870.87,739.68,4378456.54,5862.87,direct,,BTC
13320,2019-05-08 06:00:00,5899.26,5861.69,5862.87,1014.51,6051620.81,5888.65,direct,,BTC
13321,2019-05-08 07:00:00,5900.84,5877.78,5888.65,671.5,3983189.14,5885.04,direct,,BTC
13322,2019-05-08 08:00:00,5899.77,5856.03,5885.04,1017.01,6001726.88,5866.27,direct,,BTC
13323,2019-05-08 09:00:00,5880.6,5865.38,5866.27,672.82,3954983.95,5873.03,direct,,BTC
13324,2019-05-08 10:00:00,5899.54,5873.03,5873.03,1172.52,6897721.42,5894.67,direct,,BTC
13325,2019-05-08 11:00:00,5936.6,5886.98,5894.67,1473.92,8720359.03,5913.35,direct,,BTC
13326,2019-05-08 12:00:00,5932.82,5898.52,5913.35,1509.54,8920576.9,5908.74,direct,,BTC
13327,2019-05-08 13:00:00,5919.69,5893.55,5908.74,1222.43,7231575.92,5916.96,direct,,BTC
13328,2019-05-08 14:00:00,5924.92,5889.14,5916.96,1630.16,9655480.75,5919.85,direct,,BTC
13329,2019-05-08 15:00:00,5958.96,5915.95,5919.85,2387.73,14159820.19,5951.45,direct,,BTC
13330,2019-05-08 16:00:00,5967.13,5926.43,5951.45,1919.0,11384663.93,5927.73,direct,,BTC
13331,2019-05-08 17:00:00,5943.77,5911.97,5927.73,1705.09,10121772.94,5934.94,direct,,BTC
13332,2019-05-08 18:00:00,5942.18,5918.68,5934.94,1269.68,7501940.31,5937.49,direct,,BTC
13333,2019-05-08 19:00:00,5965.16,5930.88,5937.49,1710.65,10115878.05,5958.64,direct,,BTC
13334,2019-05-08 20:00:00,5960.81,5930.47,5958.64,1768.35,10483668.18,5957.62,direct,,BTC
13335,2019-05-08 21:00:00,5965.57,5947.84,5957.62,1040.07,6199465.84,5956.71,direct,,BTC
13336,2019-05-08 22:00:00,5999.95,5939.71,5956.71,2231.25,13334383.87,5990.49,direct,,BTC
13337,2019-05-08 23:00:00,6032.25,5908.91,5990.49,5409.43,32208652.54,5998.71,direct,,BTC
13338,2019-05-09 00:00:00,6082.24,5988.65,5998.71,4585.88,27631328.51,6061.49,direct,,BTC
13339,2019-05-09 01:00:00,6138.3,6061.49,6061.49,6938.21,42257580.35,6098.0,direct,,BTC
13340,2019-05-09 02:00:00,6101.41,6080.9,6098.0,1615.15,9806498.72,6083.57,direct,,BTC
13341,2019-05-09 03:00:00,6087.62,6070.31,6083.57,1518.02,9244087.18,6078.35,direct,,BTC
13342,2019-05-09 04:00:00,6102.03,6075.96,6078.35,1185.07,7209512.92,6100.97,direct,,BTC
