,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
47545,2025-03-27 18:00:00,87413.85,86865.57,86893.18,780.13,68000766.76,87193.19,direct,
47546,2025-03-27 19:00:00,87420.41,87015.83,87193.19,1437.68,125456996.66,87050.85,direct,
47547,2025-03-27 20:00:00,87339.28,86934.19,87050.85,528.04,46028356.91,87311.65,direct,
47548,2025-03-27 21:00:00,87713.63,87240.05,87311.65,572.73,50086206.04,87555.57,direct,
47549,2025-03-27 22:00:00,87589.96,87302.31,87555.57,245.42,21453173.38,87340.81,direct,
47550,2025-03-27 23:00:00,87353.57,87116.54,87340.81,357.41,31172310.56,87218.89,direct,
47551,2025-03-28 00:00:00,87385.48,86916.28,87218.89,502.09,43747741.82,87341.67,direct,
47552,2025-03-28 01:00:00,87492.39,87109.94,87341.67,397.69,34717968.74,87222.29,direct,
47553,2025-03-28 02:00:00,87314.87,86936.95,87222.29,527.66,45974707.29,86964.92,direct,
47554,2025-03-28 03:00:00,86997.14,86738.55,86964.92,710.7,61715498.77,86772.44,direct,
47555,2025-03-28 04:00:00,86813.23,85936.85,86772.44,1111.51,96049014.61,86290.56,direct,
47556,2025-03-28 05:00:00,86290.64,85806.63,86290.56,499.17,42938027.28,86040.04,direct,
47557,2025-03-28 06:00:00,86226.05,85647.03,86040.04,664.59,57117614.7,85696.68,direct,
47558,2025-03-28 07:00:00,85848.58,85131.56,85696.68,1059.39,90527867.63,85175.96,direct,
47559,2025-03-28 08:00:00,85404.74,85028.38,85175.96,772.02,65778345.49,85184.93,direct,
47560,2025-03-28 09:00:00,85377.51,84974.08,85184.93,603.99,51429987.89,85129.37,direct,
47561,2025-03-28 10:00:00,85230.9,84876.91,85129.37,501.15,42630749.75,84925.87,direct,
47562,2025-03-28 11:00:00,85226.09,84785.87,84925.87,690.51,58695211.73,85221.95,direct,
47563,2025-03-28 12:00:00,85524.25,84870.4,85221.95,1361.72,115919004.56,85016.29,direct,
47564,2025-03-28 13:00:00,85544.05,84895.58,85016.29,1900.51,161974157.83,84974.66,direct,
47565,2025-03-28 14:00:00,85081.81,84110.74,84974.66,3480.8,293750813.07,84127.16,direct,
47566,2025-03-28 15:00:00,84492.54,83910.88,84127.16,2259.02,190178338.48,84013.32,direct,
47567,2025-03-28 16:00:00,84158.41,83634.94,84013.32,1805.35,151474428.29,83750.32,direct,
47568,2025-03-28 17:00:00,83957.44,83544.63,83750.32,1234.24,103346357.39,83948.33,direct,
47569,2025-03-28 18:00:00,84120.17,83676.52,83948.33,1062.92,89175820.63,83827.88,direct,
47570,2025-03-28 19:00:00,83846.66,83590.9,83827.88,2015.52,168676735.05,83742.26,direct,
47571,2025-03-28 20:00:00,84102.64,83680.58,83742.26,1110.14,93072747.56,83767.07,direct,
47572,2025-03-28 21:00:00,84066.67,83674.42,83767.07,329.27,27618857.84,84007.8,direct,
47573,2025-03-28 22:00:00,84438.52,84007.8,84007.8,464.1,39086016.46,84436.82,direct,
47574,2025-03-28 23:00:00,84485.28,84174.38,84436.82,319.88,26971371.29,84387.01,direct,
47575,2025-03-29 00:00:00,84583.02,84330.44,84387.01,333.58,28170381.78,84365.62,direct,
47576,2025-03-29 01:00:00,84474.67,84192.0,84365.62,334.26,28181530.8,84257.56,direct,
47577,2025-03-29 02:00:00,84397.45,83814.31,84257.56,503.03,42344256.38,83837.07,direct,
47578,2025-03-29 03:00:00,84233.07,83692.55,83837.07,511.76,42965666.03,84151.58,direct,
47579,2025-03-29 04:00:00,84232.85,83951.14,84151.58,184.45,15506909.65,84048.77,direct,
47580,2025-03-29 05:00:00,84067.6,83835.18,84048.77,274.98,23084042.05,83993.23,direct,
47581,2025-03-29 06:00:00,83993.49,83654.53,83993.23,126.47,10595510.42,83769.58,direct,
47582,2025-03-29 07:00:00,83850.88,83640.96,83769.58,103.01,8628295.05,83711.05,direct,
47583,2025-03-29 08:00:00,83904.32,83651.65,83711.05,123.92,10382927.47,83893.93,direct,
47584,2025-03-29 09:00:00,83911.07,83233.83,83893.93,632.34,52780768.09,83518.0,direct,
47585,2025-03-29 10:00:00,83527.1,82793.49,83518.0,659.69,54840371.62,82890.14,direct,
47586,2025-03-29 11:00:00,83067.94,81985.66,82890.14,1178.07,97194343.67,82259.03,direct,
47587,2025-03-29 12:00:00,82476.51,82120.32,82259.03,632.21,52043692.04,82430.49,direct,
47588,2025-03-29 13:00:00,82830.31,82426.3,82430.49,525.51,43429742.66,82813.48,direct,
47589,2025-03-29 14:00:00,82854.1,82441.07,82813.48,454.84,37580493.6,82487.25,direct,
47590,2025-03-29 15:00:00,82602.44,82371.35,82487.25,350.03,28867858.23,82395.32,direct,
47591,2025-03-29 16:00:00,82652.34,82156.9,82395.32,718.99,59225699.42,82172.06,direct,
47592,2025-03-29 17:00:00,82587.6,81634.23,82172.06,1353.03,111014285.69,82318.83,direct,
47593,2025-03-29 18:00:00,82647.18,82207.6,82318.83,580.89,47883781.51,82333.33,direct,
47594,2025-03-29 19:00:00,82728.9,82190.15,82333.33,589.32,48530692.58,82728.2,direct,
47595,2025-03-29 20:00:00,82764.32,82414.18,82728.2,499.42,41248423.05,82486.37,direct,
47596,2025-03-29 21:00:00,82661.17,82346.17,82486.37,289.04,23849531.08,82496.22,direct,
47597,2025-03-29 22:00:00,82499.11,82246.16,82496.22,175.85,14492315.6,82382.37,direct,
47598,2025-03-29 23:00:00,82649.85,82323.22,82382.37,193.93,15993299.86,82625.65,direct,
47599,2025-03-30 00:00:00,82866.34,82489.94,82625.65,372.79,30820032.86,82780.42,direct,
47600,2025-03-30 01:00:00,83047.64,82753.69,82780.42,513.3,42570945.81,82925.41,direct,
47601,2025-03-30 02:00:00,83350.01,82908.28,82925.41,439.86,36586063.5,83303.68,direct,
47602,2025-03-30 03:00:00,83485.53,83042.37,83303.68,402.47,33520402.89,83077.75,direct,
47603,2025-03-30 04:00:00,83294.3,83068.97,83077.75,176.69,14695753.11,83100.4,direct,
47604,2025-03-30 05:00:00,83205.74,82921.11,83100.4,241.0,20044000.99,82951.89,direct,
47605,2025-03-30 06:00:00,83281.32,82857.54,82951.89,250.67,20816983.89,83173.35,direct,
47606,2025-03-30 07:00:00,83300.12,83060.42,83173.35,148.56,12357202.76,83066.34,direct,
47607,2025-03-30 08:00:00,83384.63,83066.17,83066.34,196.64,16380512.48,83364.37,direct,
47608,2025-03-30 09:00:00,83500.5,83248.84,83364.37,162.99,13592041.1,83483.2,direct,
47609,2025-03-30 10:00:00,83516.72,83054.06,83483.2,266.67,22189553.75,83109.39,direct,
47610,2025-03-30 11:00:00,83347.06,82972.45,83109.39,229.46,19077429.53,83100.15,direct,
47611,2025-03-30 12:00:00,83248.44,82974.93,83100.15,299.48,24881134.51,83053.16,direct,
47612,2025-03-30 13:00:00,83137.45,82571.55,83053.16,710.73,58843855.58,82675.08,direct,
47613,2025-03-30 14:00:00,83002.51,82609.08,82675.08,483.28,39999985.21,82784.98,direct,
47614,2025-03-30 15:00:00,83040.41,82701.36,82784.98,290.81,24093109.58,82711.21,direct,
47615,2025-03-30 16:00:00,82791.55,82165.44,82711.21,738.16,60861287.25,82272.42,direct,
47616,2025-03-30 17:00:00,82545.82,82038.3,82272.42,649.79,53511809.8,82391.04,direct,
47617,2025-03-30 18:00:00,82769.2,82390.77,82391.04,613.0,50652160.88,82710.3,direct,
47618,2025-03-30 19:00:00,82874.12,82540.51,82710.3,425.08,35141419.86,82540.98,direct,
47619,2025-03-30 20:00:00,82638.61,82387.15,82540.98,330.45,27291201.64,82547.21,direct,
47620,2025-03-30 21:00:00,82684.86,82064.91,82547.21,372.37,30701186.42,82244.42,direct,
47621,2025-03-30 22:00:00,82741.5,81563.47,82244.42,1040.19,85453808.34,82415.15,direct,
47622,2025-03-30 23:00:00,82427.37,81937.09,82415.15,797.14,65508387.32,82379.51,direct,
47623,2025-03-31 00:00:00,82445.15,81290.13,82379.51,1255.23,102650974.09,81632.27,direct,
47624,2025-03-31 01:00:00,82259.67,81546.91,81632.27,1113.14,91173096.42,81964.38,direct,
47625,2025-03-31 02:00:00,82163.22,81649.77,81964.38,726.11,59430307.09,81933.44,direct,
47626,2025-03-31 03:00:00,82030.17,81486.59,81933.44,654.23,53467198.22,81526.06,direct,
47627,2025-03-31 04:00:00,81864.83,81416.41,81526.06,280.68,22909538.44,81848.03,direct,
47628,2025-03-31 05:00:00,82295.59,81840.88,81848.03,280.23,23010300.43,82155.6,direct,
47629,2025-03-31 06:00:00,82250.77,81928.26,82155.6,297.73,24438577.47,82042.99,direct,
47630,2025-03-31 07:00:00,82288.81,81752.14,82042.99,402.48,32974271.82,81905.88,direct,
47631,2025-03-31 08:00:00,82254.91,81889.21,81905.88,304.69,25017892.7,81899.93,direct,
47632,2025-03-31 09:00:00,81963.89,81335.17,81899.93,406.18,33141573.54,81452.16,direct,
47633,2025-03-31 10:00:00,82212.94,81297.81,81452.16,547.34,44742825.35,82169.0,direct,
47634,2025-03-31 11:00:00,82266.35,81901.02,82169.0,467.1,38334554.25,82186.48,direct,
47635,2025-03-31 12:00:00,83146.29,81915.5,82186.48,1252.03,103314024.97,82786.43,direct,
47636,2025-03-31 13:00:00,82867.6,81651.54,82786.43,2593.4,213287713.12,82494.02,direct,
47637,2025-03-31 14:00:00,83742.08,82490.14,82494.02,3336.32,277573564.0,83493.61,direct,
47638,2025-03-31 15:00:00,83917.4,83398.99,83493.61,1536.41,128467412.27,83419.41,direct,
47639,2025-03-31 16:00:00,83692.01,83252.88,83419.41,987.89,82410361.41,83294.15,direct,
47640,2025-03-31 17:00:00,83538.76,82571.01,83294.15,1214.95,100893810.06,82682.07,direct,
47641,2025-03-31 18:00:00,83557.75,82674.35,82682.07,1173.67,97707905.26,83290.88,direct,
47642,2025-03-31 19:00:00,83429.22,82383.02,83290.88,1827.52,151511568.4,82436.23,direct,
47643,2025-03-31 20:00:00,82833.26,82353.5,82436.23,798.56,65961678.42,82424.27,direct,
47644,2025-03-31 21:00:00,82727.74,82408.86,82424.27,707.84,58454718.22,82548.34,direct,
47645,2025-03-31 22:00:00,82554.34,82253.78,82548.34,302.65,24926245.62,82388.0,direct,
47646,2025-03-31 23:00:00,82846.65,82277.45,82388.0,471.09,38866305.03,82539.52,direct,
47647,2025-04-01 00:00:00,82801.8,82419.98,82539.52,519.54,42929844.27,82638.92,direct,
47648,2025-04-01 01:00:00,82724.22,82448.52,82638.92,466.79,38557035.9,82689.83,direct,
47649,2025-04-01 02:00:00,83088.58,82640.27,82689.83,524.78,43500560.55,83081.38,direct,
47650,2025-04-01 03:00:00,83231.93,82922.61,83081.38,416.76,34630204.6,82952.06,direct,
47651,2025-04-01 04:00:00,83219.98,82881.57,82952.06,185.02,15366261.04,83057.25,direct,
47652,2025-04-01 05:00:00,83312.61,82987.55,83057.25,204.81,17036030.31,82995.97,direct,
47653,2025-04-01 06:00:00,83491.73,82886.49,82995.97,411.03,34195666.99,83452.84,direct,
47654,2025-04-01 07:00:00,83590.21,83384.33,83452.84,293.85,24532261.13,83458.12,direct,
47655,2025-04-01 08:00:00,84199.92,83429.45,83458.12,885.34,74301056.61,84111.91,direct,
47656,2025-04-01 09:00:00,84387.67,84108.78,84111.91,445.71,37554796.33,84350.12,direct,
47657,2025-04-01 10:00:00,84502.82,84160.71,84350.12,711.0,59948544.0,84182.42,direct,
47658,2025-04-01 11:00:00,84204.93,83837.8,84182.42,540.14,45382562.25,83921.77,direct,
